age,nDeathsActualM,nDeathsActualF
0,3,2
1,3,0
2,2,0
3,0,1
4,0,0
5,1,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,1,0
13,1,1
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,1
21,1,0
22,1,4
23,0,0
24,0,0
25,2,1
26,0,0
27,1,1
28,1,1
29,0,2
30,1,1
31,0,0
32,0,2
33,1,0
34,1,2
35,0,1
36,1,1
37,2,0
38,1,1
39,3,2
40,1,2
41,2,1
42,3,3
43,4,2
44,4,2
45,1,3
46,4,2
47,4,4
48,0,3
49,5,1
50,4,1
51,8,3
52,3,2
53,6,1
54,3,4
55,10,6
56,16,5
57,7,4
58,5,6
59,7,4
60,10,6
61,12,9
62,8,10
63,12,9
64,17,13
65,24,9
66,13,11
67,17,9
68,21,16
69,18,16
70,28,8
71,23,21
72,27,18
73,39,18
74,41,31
75,34,34
76,50,32
77,42,30
78,38,27
79,57,27
80,47,37
81,74,47
82,78,54
83,60,38
84,61,50
85,78,61
86,49,56
87,68,56
88,69,66
89,67,58
90,65,59
91,68,70
92,50,70
93,60,69
94,41,59
95,21,52
96,23,50
97,21,32
98,14,25
99,7,23
100,17,34
